Year;Month;Day;Date;Max Temp;Min Temp
2020;1;1;1/01/2020;7;-1.4
2020;1;2;2/01/2020;10.9;2.2
2020;1;3;3/01/2020;7.7;3.5
2020;1;4;4/01/2020;10;3.8
2020;1;5;5/01/2020;10;6.6
2020;1;6;6/01/2020;9.4;7.5
2020;1;7;7/01/2020;13.7;4.1
2020;1;8;8/01/2020;8.5;7
2020;1;9;9/01/2020;5.5;2.9
2020;1;10;10/01/2020;11.1;0
2020;1;11;11/01/2020;12.8;0.7
2020;1;12;12/01/2020;8.6;4
2020;1;13;13/01/2020;7;2.6
2020;1;14;14/01/2020;5.8;2.7
2020;1;15;15/01/2020;8;2.9
2020;1;16;16/01/2020;9.9;4
2020;1;17;17/01/2020;5.7;4.6
2020;1;18;18/01/2020;7.4;2.2
2020;1;19;19/01/2020;8.3;-0.6
2020;1;20;20/01/2020;11.4;0.8
2020;1;21;21/01/2020;10.9;1.6
2020;1;22;22/01/2020;14;3
2020;1;23;23/01/2020;9.9;2.4
2020;1;24;24/01/2020;11.2;2.9
2020;1;25;25/01/2020;7.9;4.3
2020;1;26;26/01/2020;8;5
2020;1;27;27/01/2020;7.3;2.4
2020;1;28;28/01/2020;6.4;1.8
2020;1;29;29/01/2020;9.4;2.8
2020;1;30;30/01/2020;11.3;4.1
2020;1;31;31/01/2020;11.7;6.1
2020;2;1;1/02/2020;9.1;7.4
2020;2;2;2/02/2020;9.2;3.7
2020;2;3;3/02/2020;8;4.3
2020;2;4;4/02/2020;10.6;2.7
2020;2;5;5/02/2020;7.1;-0.7
2020;2;6;6/02/2020;8.8;-1.3
2020;2;7;7/02/2020;8.5;0.6
2020;2;8;8/02/2020;10.3;0.8
2020;2;9;9/02/2020;11.2;4.6
2020;2;10;10/02/2020;6.3;2.9
2020;2;11;11/02/2020;5.4;2
2020;2;12;12/02/2020;6.6;1
2020;2;13;13/02/2020;5;0.1
2020;2;14;14/02/2020;9.4;1.8
2020;2;15;15/02/2020;11.3;3.3
2020;2;16;16/02/2020;8.3;5.3
2020;2;17;17/02/2020;9.7;4
2020;2;18;18/02/2020;7.8;3.1
2020;2;19;19/02/2020;10;2.7
2020;2;20;20/02/2020;9.6;3.7
2020;2;21;21/02/2020;10;2.8
2020;2;22;22/02/2020;7.5;5.4
2020;2;23;23/02/2020;7.4;2.6
2020;2;24;24/02/2020;8.8;0.2
2020;2;25;25/02/2020;6.7;0.3
2020;2;26;26/02/2020;8.1;-0.4
2020;2;27;27/02/2020;7.5;0.1
2020;2;28;28/02/2020;9.5;1.8
2020;2;29;29/02/2020;6.9;2.2
2020;3;1;1/03/2020;7.4;1.5
2020;3;2;2/03/2020;8.1;-0.1
2020;3;3;3/03/2020;9.6;-0.3
2020;3;4;4/03/2020;7.9;0
2020;3;5;5/03/2020;9.7;-2.8
2020;3;6;6/03/2020;9.2;-3
2020;3;7;7/03/2020;12.4;-0.2
2020;3;8;8/03/2020;10.4;6.9
2020;3;9;9/03/2020;11;3.6
2020;3;10;10/03/2020;6.7;4.5
2020;3;11;11/03/2020;10.3;4
2020;3;12;12/03/2020;7.7;1.3
2020;3;13;13/03/2020;7.3;2
2020;3;14;14/03/2020;10.7;3.3
2020;3;15;15/03/2020;10;4.6
2020;3;16;16/03/2020;10;0.8
2020;3;17;17/03/2020;12.3;5.5
2020;3;18;18/03/2020;8.4;5.1
2020;3;19;19/03/2020;11.8;1.4
2020;3;20;20/03/2020;10;-1.9
2020;3;21;21/03/2020;8;1.5
2020;3;22;22/03/2020;10.2;3.3
2020;3;23;23/03/2020;11.1;0.2
2020;3;24;24/03/2020;14.9;2
2020;3;25;25/03/2020;16.6;5.5
2020;3;26;26/03/2020;14.3;2.2
2020;3;27;27/03/2020;12.3;-0.3
2020;3;28;28/03/2020;9.6;4.4
2020;3;29;29/03/2020;6.9;1.5
2020;3;30;30/03/2020;11.7;3
2020;3;31;31/03/2020;8.9;4.6
2020;4;1;1/04/2020;10.7;5
2020;4;2;2/04/2020;12.8;5.9
2020;4;3;3/04/2020;10.7;1.7
2020;4;4;4/04/2020;11.9;5.9
2020;4;5;5/04/2020;18.1;4.4
2020;4;6;6/04/2020;14.1;9.8
2020;4;7;7/04/2020;16.9;4
2020;4;8;8/04/2020;18.2;4.2
2020;4;9;9/04/2020;10.7;6.5
2020;4;10;10/04/2020;17.8;5.4
2020;4;11;11/04/2020;20.5;8.1
2020;4;12;12/04/2020;14.3;7.6
2020;4;13;13/04/2020;7.8;4.3
2020;4;14;14/04/2020;16;-2.3
2020;4;15;15/04/2020;21.2;1.6
2020;4;16;16/04/2020;13.7;4.2
2020;4;17;17/04/2020;11.1;6.1
2020;4;18;18/04/2020;12;4.8
2020;4;19;19/04/2020;13.7;1.6
2020;4;20;20/04/2020;12.9;2.9
2020;4;21;21/04/2020;13.7;4.2
2020;4;22;22/04/2020;15.7;4.1
2020;4;23;23/04/2020;16.6;5.6
2020;4;24;24/04/2020;17.5;0.8
2020;4;25;25/04/2020;16.9;5.2
2020;4;26;26/04/2020;17.7;5.9
2020;4;27;27/04/2020;15;3.6
2020;4;28;28/04/2020;10.9;1.6
2020;4;29;29/04/2020;9.1;4.9
2020;4;30;30/04/2020;12.8;5.7
2020;5;1;1/05/2020;15.6;4.6
2020;5;2;2/05/2020;14.4;6.9
2020;5;3;3/05/2020;14.2;6.1
2020;5;4;4/05/2020;13.6;7.4
2020;5;5;5/05/2020;13;1.7
2020;5;6;6/05/2020;16;-0.6
